iter	RMSE
516	4.766524808
517	4.759114983
518	4.754009652
519	4.75037206
520	4.743119922
521	4.731875575
522	4.728640978
523	4.72378811
524	4.721416756
525	4.720418401
526	4.715325828
527	4.710981477
528	4.706053514
529	4.702403184
530	4.695149451
531	4.690992135
532	4.683917213
533	4.680338517
534	4.676799996
535	4.675753038
536	4.67419068
537	4.665790483
538	4.659174934
539	4.652817297
540	4.645000995
541	4.639576642
542	4.629177781
543	4.624321293
544	4.619017776
545	4.615686954
546	4.610497498
547	4.603388395
548	4.596540787
549	4.590639355
550	4.583548327
551	4.581586696
552	4.576704193
553	4.569974678
554	4.560617007
555	4.559682202
556	4.559270988
557	4.554217432
558	4.548072422
559	4.546007584
560	4.536155907
561	4.532066746
562	4.526270572
563	4.524855104
564	4.518386354
565	4.515472145
566	4.511148793
567	4.505477698
568	4.497763284
569	4.493636233
570	4.486494856
571	4.480384962
572	4.47556556
573	4.469571477
574	4.466042141
575	4.458311864
576	4.453967455
577	4.453411379
578	4.452524514
579	4.4479746
580	4.44112325
581	4.438139456
582	4.431757504
583	4.428475679
584	4.426925891
585	4.424111584
586	4.418332038
587	4.414302214
588	4.409963022
589	4.403873805
590	4.393870873
591	4.386802964
592	4.384076818
593	4.381414056
594	4.377446648
595	4.373164986
596	4.370537262
597	4.366174066
598	4.362410759
599	4.358593026
600	4.354297343
601	4.347621169
602	4.342695211
603	4.339600132
604	4.337984351
605	4.33529711
606	4.329451697
607	4.325158806
608	4.320568525
609	4.316444275
610	4.310409677
611	4.308625361
612	4.305814354
613	4.300149207
614	4.298512113
615	4.296558192
616	4.294616629
617	4.291253348
618	4.289076408
619	4.285114181
620	4.280199743
621	4.274375784
622	4.271212335
623	4.266368935
624	4.260594976
625	4.255588156
626	4.252037903
627	4.249648038
628	4.245997263
629	4.240672289
630	4.238236213
631	4.234583923
632	4.229091012
633	4.223808987
634	4.219106064
635	4.215043249
636	4.212511139
637	4.207213192
638	4.204324601
639	4.202592773
640	4.199501075
641	4.195250721
642	4.189920179
643	4.185185833
644	4.183016775
645	4.182769943
646	4.174768293
647	4.169445222
648	4.166822337
649	4.16301067
650	4.158394304
651	4.152377664
652	4.145879834
653	4.139681046
654	4.133362497
655	4.126630209
656	4.121393759
657	4.118725723
658	4.118224411
659	4.113010316
660	4.112181089
661	4.108177049
662	4.105475991
663	4.101397481
664	4.100060197
665	4.098279781
666	4.096297848
667	4.087760088
668	4.085291469
669	4.081330294
670	4.075489937
671	4.07467899
672	4.070070616
673	4.065425671
674	4.059216319
675	4.052552349
676	4.046240003
677	4.03863612
678	4.035137819
679	4.032351055
680	4.030212673
681	4.025584706
682	4.019088103
683	4.013962787
684	4.009713936
685	4.006862546
686	4.005056015
687	3.998913901
688	3.993570375
689	3.989927234
690	3.984244006
691	3.975851925
692	3.974966322
693	3.968742134
694	3.962361584
695	3.959643199
696	3.952563338
697	3.952290978
698	3.946581283
699	3.942179514
700	3.936973748
701	3.93671589
702	3.931073078
703	3.927818863
704	3.922485867
705	3.919794958
706	3.914412332
707	3.908424063
708	3.90466554
709	3.902878408
710	3.898494365
711	3.893485085
712	3.888428291
713	3.885043775
714	3.883815029
715	3.87749516
716	3.876946942
717	3.872353599
718	3.86642209
719	3.865684625
720	3.862949729
721	3.862665589
722	3.859654491
723	3.853052323
724	3.850394786
725	3.849570894
726	3.84485381
727	3.84176794
728	3.837885088
729	3.833327552
730	3.830442461
731	3.825416801
732	3.821194101
733	3.818776633
734	3.815271189
735	3.810520049
736	3.808315411
737	3.803823521
738	3.800634282
739	3.79729128
740	3.79568429
741	3.792902689
742	3.791536962
743	3.789153001
744	3.78439937
745	3.777366572
746	3.772363465
747	3.770990877
748	3.769444984
749	3.767101766
750	3.761381115
751	3.756567733
752	3.754474423
753	3.753420594
754	3.750083162
755	3.742204404
756	3.741779086
757	3.741540862
758	3.740184707
759	3.73953901
760	3.735147066
761	3.73367201
762	3.73101478
763	3.725127073
764	3.721235992
765	3.716311421
766	3.713143595
767	3.712707543
768	3.708194148
769	3.704910573
770	3.700612529
771	3.699108309
772	3.695890894
773	3.694578573
774	3.690376871
775	3.689554588
776	3.687989425
777	3.685186207
778	3.684077386
779	3.683316637
780	3.679182012
781	3.676654408
782	3.674795756
783	3.669889548
784	3.669422229
785	3.661650046
786	3.657173787
787	3.653507699
788	3.649756739
789	3.643212439
790	3.636874568
791	3.632611784
792	3.630051739
793	3.626085646
794	3.61999112
795	3.616884269
796	3.615070265
797	3.610203252
798	3.605264988
799	3.602839975
800	3.598231273
801	3.594530839
802	3.590918284
803	3.588175412
804	3.587696598
805	3.583832171
806	3.580661254
807	3.5777804
808	3.569045124
809	3.565572253
810	3.562165723
811	3.558014933
812	3.554900538
813	3.552570236
814	3.552103022
815	3.549836036
816	3.5460015
817	3.543214477
818	3.54018519
819	3.539968903
820	3.536426936
821	3.536146496
822	3.532077053
823	3.526858531
824	3.524631354
825	3.522164876
826	3.518060975
827	3.515658141
828	3.512082067
829	3.508366512
830	3.507611313
831	3.505938221
832	3.504532018
833	3.502708147
834	3.500486734
835	3.496812448
836	3.495890517
837	3.493168264
838	3.490629451
839	3.487284192
840	3.484085797
841	3.482488541
842	3.47910339
843	3.473663388
844	3.467136597
845	3.466356565
846	3.464654265
847	3.461966406
848	3.45802253
849	3.45643742
